,Standard name,S score (FLC-NoDrug),RNA Seq A17 in vs. out
0,C1_00010W,-0.215000632211,0.115
1,C1_00030C,-0.215000632211,-0.143
2,C1_00040W,-0.215000632211,-0.3
3,C1_00050C,-0.215000632211,0.105
4,C1_00080C,-0.215000632211,0.123
5,C1_00090W,-0.215000632211,1.016
6,C1_00100C,-0.215000632211,0.89
7,C1_00120C,-0.215000632211,0.134
8,C1_00130C,-0.215000632211,0.204
9,C1_00140W,-0.215000632211,-0.264
10,C1_00150C,-0.215000632211,1.808
11,C1_00160C,-0.215000632211,-0.127
12,C1_00170W,-0.215000632211,1.393
13,C1_00190C,-0.215000632211,0.439
14,C1_00200C,-0.215000632211,1.27
15,C1_00210C,-0.215000632211,0.813
16,C1_00230C,-0.215000632211,0.163
17,C1_00240C,-0.215000632211,
18,C1_00270W,-0.215000632211,-2.755
19,C1_00280C,-0.215000632211,
20,C1_00290W,-0.215000632211,-2.601
21,C1_00310W,-0.215000632211,-3.063
22,C1_00320W,-0.215000632211,0.766
23,C1_00330C,-0.215000632211,-0.054
24,C1_00340W,-0.215000632211,-0.614
25,C1_00350C,-0.215000632211,2.056
26,C1_00370W,-0.215000632211,0.584
27,C1_00380C,-0.215000632211,-0.473
28,C1_00390W,-0.215000632211,-2.411
29,C1_00410C,-0.215000632211,0.367
30,C1_00420W,-0.215000632211,0.268
31,C1_00430W,-0.215000632211,-0.326
32,C1_00440W,-0.215000632211,0.587
33,C1_00460W,-0.215000632211,-0.42
34,C1_00470C,-0.215000632211,1.08
35,C1_00480C,-0.215000632211,0.319
36,C1_00490C,-0.215000632211,0.428
37,C1_00500C,-0.215000632211,2.201
38,C1_00520W,-0.215000632211,0.572
39,C1_00530C,-0.215000632211,0.991
40,C1_00550W,-0.215000632211,0.714
41,C1_00580W,-0.215000632211,-0.85
42,C1_00630W,-0.215000632211,1.27
43,C1_00670C,-0.215000632211,0.542
44,C1_00680W,-0.215000632211,0.518
45,C1_00690W,-0.215000632211,3.157
46,C1_00720W,-0.215000632211,
47,C1_00730C,-0.215000632211,0.595
48,C1_00750C,-0.215000632211,0.409
49,C1_00760W,-0.215000632211,0.005
50,C1_00780C,-0.215000632211,0.194
51,C1_00790W,-0.215000632211,2.033
52,C1_00820W,-0.215000632211,0.984
53,C1_00830W,-0.215000632211,1.585
54,C1_00840C,-0.215000632211,3.948
55,C1_00850W,-0.215000632211,0.298
56,C1_00860W,-0.215000632211,0.558
57,C1_00870W,-0.215000632211,-0.374
58,C1_00880W,-0.215000632211,-1.919
59,C1_00910W,-0.215000632211,0.726
60,C1_00920W,-0.215000632211,-0.459
61,C1_00930C,-0.215000632211,-0.948
62,C1_00960C,-0.215000632211,-1.113
63,C1_00970W,-0.215000632211,0.592
64,C1_00980W,-0.215000632211,0.816
65,C1_00990C,-0.215000632211,-1.79
66,C1_01010W,-0.215000632211,0.297
67,C1_01020W,-0.215000632211,
68,C1_01030W,-0.215000632211,0.048
69,C1_01040W,-0.215000632211,0.442
70,C1_01060W,-0.215000632211,0.049
71,C1_01080W,-0.215000632211,0.56
72,C1_01100W,-0.215000632211,0.776
73,C1_01140C,-0.215000632211,-0.355
74,C1_01150C,-0.215000632211,-0.694
75,C1_01170C,-0.215000632211,-1.599
76,C1_01180C,-0.215000632211,-1.239
77,C1_01190C,-0.215000632211,1.162
78,C1_01200W,-0.215000632211,-0.923
79,C1_01210W,-0.215000632211,-0.834
80,C1_01220C,-0.215000632211,-0.903
81,C1_01240W,-0.215000632211,1.262
82,C1_01250W,-0.215000632211,0.429
83,C1_01270W,-0.215000632211,-0.661
84,C1_01290C,-0.215000632211,0.501
85,C1_01300W,-0.215000632211,0.88
86,C1_01310W,-0.215000632211,1.024
87,C1_01340C,-0.215000632211,0.225
88,C1_01360C,-0.215000632211,-0.579
89,C1_01380C,-0.215000632211,-0.962
90,C1_01390C,-0.215000632211,0.623
91,C1_01400C,-0.215000632211,0.289
92,C1_01420C,-0.215000632211,0.854
93,C1_01440C,-0.215000632211,0.554
94,C1_01460W,-0.215000632211,-0.945
95,C1_01500W,-0.215000632211,-0.439
96,C1_01510W,-0.215000632211,1.778
97,C1_01540W,-0.215000632211,0.147
98,C1_01550W,-0.215000632211,-0.21
99,C1_01560W,-0.215000632211,-0.772
100,C1_01610C,-0.215000632211,-1.202
101,C1_01620C,-0.215000632211,-0.806
102,C1_01640W,-0.215000632211,-2.151
103,C1_01650W,-0.215000632211,0.003
104,C1_01660C,-0.215000632211,-0.404
105,C1_01690C,-0.215000632211,2.22
106,C1_01700W,-0.215000632211,0.145
