S score (FLC+Geld-FLC),RNA Seq A17 in vs. out
0.058900352000002,0.115
-0.413168092299998,-0.143
-0.413168092299998,-0.3
-2.4859244348,0.105
-0.450642797900001,0.123
0.240288513499999,1.016
1.1815754291,0.89
-8.3439054299,0.134
-3.872599711,0.204
-11.4650567482,-0.264
0.6844427043,1.808
-5.839432847,-0.127
-1.1877210541,1.393
-1.3293365016,0.439
-7.6610956058,1.27
-7.5006309336,0.813
-7.1813524171,0.163
-1.0385197172,-2.755
-4.0993705729,-2.601
-7.320058688,-3.063
-6.6029926512,0.766
-9.2010706517,-0.054
-4.5006309336,-0.614
-5.1136078105,2.056
1.1103938637,0.584
-3.872599711,-0.473
-1.0788916051,-2.411
-4.872599711,0.367
-3.0468387983,0.268
4.2807287799,-0.326
-1.021977335,0.587
-0.413168092299998,-0.42
-1.0362140949,1.08
-5.3517675477,0.319
-7.5424511093,0.428
-2.6993250562,2.201
-6.872599711,0.572
4.2918882538,0.991
0.722487006999998,0.714
0.693747111600001,-0.85
-0.140973687299999,1.27
-0.0389162078999998,0.542
-1.0946849473,0.518
-6.622621458,3.157
-5.770720097,0.595
-2.136836864,0.409
2.2649038128,0.005
1.2312954201,0.194
-1.5506716161,2.033
-2.9981305931,0.984
-3.4131680924,1.585
-2.0492047777,3.948
-6.1680555945,0.298
-6.0570242821,0.558
-7.6323366128,-0.374
-2.4772984298,-1.919
1.0342908846,0.726
-5.320058688,-0.459
-1.6881751399,-0.948
2.2566833059,-1.113
-1.278625969,0.592
-5.1136078105,0.816
-0.2114381764,-1.79
-2.7350961872,0.297
1.1717944084,0.048
-4.2205230144,0.442
-0.413168092299998,0.049
-1.3063676477,0.56
0.470317898899999,0.776
-2.2596228341,-0.355
-2.2033557313,-0.694
-0.360812687299999,-1.599
-0.3203084837,-1.239
-1.3871728839,1.162
-1.2560671313,-0.923
-4.0855934343,-0.834
-1.1467550081,-0.903
4.859850402,1.262
-3.8291253845,0.429
-2.8622081052,-0.661
-0.413168092299998,0.501
0.802337943300001,0.88
-1.5612249402,1.024
-1.8175583475,0.225
0.0782202930999993,-0.579
-1.9012690539,-0.962
-9.292751342,0.623
-4.3036896156,0.289
-2.2205230144,0.854
-5.0570242821,0.554
-0.475689177,-0.945
-0.761091395799998,-0.439
0.7198934374,1.778
-1.116696727,0.147
-1.3874203232,-0.21
-2.4092846579,-0.772
-0.7115093669,-1.202
-4.7143376271,-0.806
-0.413168092299998,-2.151
-5.2205230144,0.003
-0.413168092299998,-0.404
3.0433460428,2.22
-2.0615970119,0.145
5.2234565282,-0.623
-0.413168092299998,-0.568
-3.4995283772,-0.368
-0.427995510100001,0.073
-3.1272920124,0.676
-0.612937604800003,1.632
-0.8492672072,-0.981
-5.622621458,-0.398
-1.4575622118,0.268
2.0462635262,-1.23
-7.5830930938,-0.416
-0.6809796385,0.393
-0.453469457100001,-0.73
-1.9903532426,-0.113
2.2113227725,0.367
-5.5830930938,-0.094
-2.9537364738,-1.427
-1.6148019536,0.438
-1.0570242822,1.91
-8.1613609419,-1.921
-5.1136078105,-5.251
-4.1039252571,-0.227
-4.7757381718,-0.885
-3.7161546236,0.538
-5.9050211887,0.487
-7.8168902784,-0.338
-0.1471559867,-1.217
2.4329192242,1.104
-1.5332895379,2.114
-6.8225590285,-0.665
1.6126719125,-0.94
0.882287791099998,0.039
-7.839432847,-2.395
-5.3673644027,-1.472
-0.413168092299998,-0.473
-0.413168092299998,-2.384
-0.0810920420999999,-1.561
0.439605954399999,-1.702
-0.119555908799999,-1.474
-5.320058688,-0.098
-4.1680555945,0.286
-8.8225590285,-0.27
-4.4131680924,0.47
-4.872599711,-0.002
-7.8561115882,-0.443
-6.4792572828,-1.083
-2.5062774967,1.063
-6.2460581065,0.099
-7.0996686195,-0.68
-3.4131680923,-1.998
-5.1136078105,0.724
-1.8172819426,1.056
-0.346053896499999,1.849
-5.5006309336,-0.699
-5.1136078105,0.592
3.1717944084,0.512
-7.4899836894,-0.057
-2.1236614752,0.069
-1.160402022,-1.506
-3.7350961872,-0.042
-0.413168092299998,-0.696
-2.1707439662,-2.117
1.3941868297,-1.517
-3.4131680923,-0.323
-6.622621458,0.197
-1.703225672,0.174
-6.3240606185,4.261
-6.1410885469,2.266
-0.536974294,-0.674
-4.8327069839,0.803
-0.413168092299998,0.683
-2.1033854274,0.035
-1.9223277691,-0.228
-7.3439054299,2.421
-3.7350961872,-2.189
-7.5930771824,0.05
1.5868319076,-0.459
0.956526421399998,-0.49
1.0607630959,0.381
4.8463941215,2.188
-8.9639148777,-1.503
-1.915668433,-2.424
-1.8860496662,-0.086
7.381247774,-0.221
-4.3039390226,-0.862
-4.872599711,0.678
-6.8561115882,0.561
-5.9367300484,0.446
-0.754602501599999,0.969
-0.413168092299998,-0.011
-1.6573786239,0.584
-6.0570242821,0.752
-0.6577061547,1.269
-3.8685585458,2.687
-1.8496853191,3.924
-8.1978029379,0.332
1.3653639945,-0.67
-3.10015153,-0.949
-9.9010081262,-0.674
-10.0497927129,-1.316
-5.2711490875,-0.805
-9.123974526,0.875
-0.8184245709,0.941
-3.9981305931,-0.425
-1.315870891,-0.271
-7.5527194447,1.765
-0.541949021000001,0.264
1.3605560518,0.442
-0.6165273216,-0.356
-0.829668029799999,-1.167
-1.1250427056,-1.923
-5.2849022426,-1.032
-7.2075839587,-0.97
-3.0820530766,-1.082
-2.3814592327,1.524
-0.741973194,-1.862
0.7283860519,-0.126
-1.9419477577,-0.46
-3.7799504231,0.499
-1.1516164154,-1.037
-0.0806900781,0.79
-1.9337713473,-0.309
-3.9450693493,0.271
-0.2542982795,0.699
-2.839432847,1.254
1.4869333376,-3.48
-4.5006309336,0.216
-2.3766422164,0.378
3.5868319077,-0.775
-9.4953171337,-0.578
-0.767517664999998,0.221
-1.7508762782,0.665
-6.2958111417,0.996
-2.0348488157,0.891
-2.4131680923,0.398
0.261804574099999,0.535
-7.84779632,-1.508
1.0702563819,-1.991
-6.6419867828,-0.706
-0.413168092299998,-1.583
0.306723988399998,0.49
-1.4014862873,0.261
-8.3439054299,1.072
-3.9981305931,0.032
-0.1012240861,-0.378
-7.4018527791,2.826
