Name,Standard name,AVGRAD_moursch,aVGFoG_moursch,AVGRAD_homann,aVGFoG_homann,S score (FLC-NoDrug),RNA Seq A17 in vs. out
ARG81,C1_09090C,1.2701612905,0.9869047635,1.233333334,0.850588236,1.2224046801,-0.44
ARG83,C4_02530W,1.09375,1.190277778,0.941176471,1.303615196,0.864226058939,-1.476
ARO80,C1_03200C,1.0942540325,0.885317459,0.973684211,0.880131965,2.10692746268,0.264
ASG1,CR_02560C,1.0791330645,0.966468256,0.908730159,1.148484849,-0.447248912625,-0.583
CAT8,C1_08190C,1.0005040325,1.042460319,1.172268907,0.887523191,3.92904573741,-0.126
CTA4,C3_05930W,0.984375,1.24642857,0.916666667,1.116666667,-2.69447000409,0.141
CTA7,C5_02700W,1.0630040325,1.120436507,0.821428572,1.015550239,0.129333875724,-0.086
CTF1,C2_01890W,1.126512097,1.2948412705,0.970588236,0.55882353,-1.06299753877,-0.363
CWT1,CR_05530C,0.9848790325,1.3077380965,1.029411765,0.880797774,1.39839027684,-0.677
CZF1,C4_06820C,1.327956989,0.816993464,1.142857143,1.018939394,-0.736347033636,-1.718
DAL81,CR_01030W,1.095766129,1.0644841255,1,0.984090909,-0.707729415998,-1.591
FCR1,C3_06850W,1.142137097,1.0609127005,0.966666667,0.811764706,-2.55380254566,-1.893
FGR17,C6_03610W,0.8210685485,1.02222,0.733333334,0.977941177,0.478294490298,-0.234
FGR27,C5_03680W,1.095262097,0.9162698405,0.933333334,0.868529412,0.620463595777,-1.628
GAL4,C2_10590W,1.0942540325,0.8095238115,1.113445378,0.93877551,-1.51727020133,1.618
HAL9,C5_01830C,1.0322580645,0.8113095215,0.972222222,1.051041667,-1.02407680527,-1.691
LEU3,C5_02180C,1.081653226,1.239682541,0.919444445,0.855502393,-0.268638595813,-1.391
LYS14,C6_02750C,1.110887097,1.586111111,1.136554622,1.137523191,-0.787684803154,-0.064
LYS142,C1_09200W,1.129032258,1.236111111,0.95,1.226674641,1.70556490029,-1.283
LYS143,C1_09180W,1.144153226,1.0448412705,1,0.967741936,3.83424288681,0.006
LYS144,C3_00750W,1.079637097,0.9087301595,1.172268907,0.930890538,0.0625333433177,0.132
MRR1,C3_05920W,0.681955645,0.474007937,1.136554622,1.045454546,-1.94082566877,0.275
PPR1,C5_04970C,1.064012097,1.2119047635,1.081871345,0.868181818,-1.25541490066,-1.835
RGT1,C4_02540W,1.0677419355,1.1930555555,1.146381579,0.857771261,-2.29931691814,-0.015
SEF1,CR_02190C,0.982795699166667,0.984722222,0.842857143,0.867224881,-0.755569013574,-0.523
SEF2,C5_01400W,1.04946236583333,1.2291666665,1,1.025757576,-1.28317213485,-0.572
STB5,C1_01200W,1.24946236583333,1.038888889,0.996428572,1.105263158,-0.215000632211,-0.923
SUC1,CR_09210W,1.19784946233333,0.9569444445,1.048319328,1.096474954,0.0992467255946,-0.525
TAC1,C5_01840C,1.18333333333333,0.8,1.033088236,1.049019608,0.695024855114,0.323
TEA1,C3_05470W,1.24408602166667,1.1833333335,0.991666667,0.866176471,2.12082190433,0.575
UGA3,CR_09960C,1.001612903,1.486111111,1.015873016,1.208333334,0.61540491854,-0.976
UGA32,C1_00670C,1.24731182816667,1.1555555555,1.100840336,0.806122449,-0.215000632211,0.542
UGA33,CR_09200C,0.716666666666667,1.0208333335,0.983193278,1.030148423,0.331780479246,-0.375
UME7,C4_02560C,1.31559139783333,0.984722222,0.988095238,1.103030303,-0.992608210875,0.169
