,A22,read_count,chromosome,start,end,length,rpkm,tpm
0,C1_00010W_A,27,C1,4059,4397,338,9.098310606411662,10.77193773470549
2,C1_00020C_A,766,C1,4409,4720,311,280.531785457286,332.135388235933
4,C1_00030C_A,6,C1,8597,8908,311,2.197376909587097,2.6015826754772817
6,C1_00040W_A,275,C1,10718,11485,767,40.836736243467286,48.34862197309747
8,C1_00050C_A,8,C1,11648,11995,347,2.625875961120411,3.1089037927893743
10,C1_00060W_A,5025,C1,12163,13701,1538,372.1289228305131,440.5817474717175
12,C1_00070W_A,1469,C1,13778,14917,1139,146.8966077753953,173.91812401754106
14,C1_00080C_A,786,C1,14910,15761,851,105.19780572677779,124.54885990789653
16,C1_00090W_A,43,C1,15595,16116,521,9.400358737014793,11.129547382967912
18,C1_00100C_A,298,C1,16600,17328,728,46.62282445666505,55.199056592922055
20,C1_00110W_A,2676,C1,17338,18960,1622,187.90959409444378,222.47541712993336
22,C1_00120C_A,573,C1,18948,19628,680,95.97528368116407,113.62986213678384
24,C1_00130C_A,856,C1,19615,21714,2099,46.44885591254871,54.99308667102272
26,C1_00140W_A,1353,C1,22270,25326,3056,50.42642060137365,59.70232127701555
28,C1_00150C_A,1294,C1,25381,27249,1868,78.8989274832953,93.41232355665814
30,C1_00160C_A,2452,C1,28286,29488,1202,232.34305389595832,275.082377149759
32,C1_00170W_A,230,C1,29804,31543,1739,15.064056962120473,17.835078472004025
34,C1_00180W_A,5457,C1,31842,32444,602,1032.45506158273,1222.3743635893504
36,C1_00190C_A,1803,C1,32680,33318,638,321.87610936350615,381.08496822581054
38,C1_00200C_A,123,C1,34099,34446,347,40.372842902226324,47.79939581413663
40,C1_00210C_A,1982,C1,34525,35679,1154,195.6192261443249,231.60322997249386
42,C1_00220W_A,15328,C1,37851,39485,1634,1068.4326098548518,1264.9699537598538
44,C1_00230C_A,730,C1,40484,41770,1286,64.65402796572816,76.54708590119327
46,C1_00240C_A,1,C1,42100,42172,72,1.5819079140777477,1.8728986390588769
48,C1_00270W_A,969,C1,42605,43504,899,122.76590806382238,145.34860094533892
50,C1_00280C_A,1,C1,43549,43679,130,0.8761336139507526,1.037297707786455
52,C1_00290W_A,3674,C1,43803,45764,1961,213.3905847502083,252.64361611064075
54,C1_00310W_A,430,C1,46803,48359,1556,31.475494228693492,37.265386802868136
56,C1_00320W_A,324,C1,48513,49298,785,47.00986983389261,55.65729866492418
58,C1_00330C_A,300,C1,49295,49843,548,62.35257471547327,73.82228212348856
60,C1_00340W_A,492,C1,49997,50743,746,75.11730019878036,88.93506888742849
62,C1_00350C_A,2884,C1,50806,51681,875,375.4057309056185,444.46132183234016
64,C1_00360W_A,375,C1,53099,54442,1343,31.803063052940573,37.653211656433115
66,C1_00370W_A,103,C1,54558,54842,284,41.307848911269645,48.9063954481008
68,C1_00380C_A,1160,C1,54837,57074,2237,59.06166695743116,69.92601445426793
70,C1_00390W_A,7009,C1,59349,62552,3203,249.2371729701865,295.0841562297171
72,C1_00400W_A,5697,C1,63202,64350,1148,565.2206583868178,669.1925569370437
74,C1_00410C_A,2771,C1,64696,66324,1628,193.86339788297275,229.52441847414903
76,C1_00420W_A,1435,C1,67843,68814,971,168.32412531669712,199.2872166710228
78,C1_00430W_A,1263,C1,69226,70902,1676,85.83077450750241,101.61927842569094
80,C1_00440W_A,2652,C1,71068,72581,1513,199.64033360585688,236.36401701021688
82,C1_00450C_A,665,C1,72741,73283,542,139.74492790782762,165.45089822534874
84,C1_00460W_A,872,C1,73580,73900,320,310.37033274205413,367.4627129833516
86,C1_00470C_A,624,C1,74056,75381,1325,53.639214161271745,63.506105702367705
88,C1_00480C_A,1293,C1,75573,77828,2255,65.30789320132239,77.32122913606437
90,C1_00490C_A,2155,C1,78008,78367,359,683.7014817501486,809.467835198817
92,C1_00500C_A,2959,C1,78641,79669,1028,327.84272108797273,388.1491335157739
